name,slug,description
عربى (Arabic),arabic,
简体中文 (Simplified Chinese),chinese-simplified,
繁體中文 (Traditional Chinese),chinese-traditional,
English,english,
Français (French),french,
हिंदी (Hindi),hindi,
Polskie (Polish),polish,
усский (Russian),russian,
Español (Spanish),spanish,
اردو (Urdu),urdu,
